shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
S400038,40.642432,-74.114619,150005
S400038,40.642232,-74.114899,150006
S400038,40.642202,-74.114939,150007
S400038,40.642142,-74.115039,150008
S400038,40.641912,-74.115399,150009
S400038,40.641832,-74.115519,150010
S400038,40.641642,-74.115809,150011
S400038,40.641398,-74.116208,150012
S400038,40.641398,-74.116208,160001
S400038,40.641392,-74.116219,160002
S400038,40.641342,-74.116299,160003
S400038,40.641112,-74.116659,160004
S400038,40.641062,-74.116769,160005
S400038,40.641002,-74.116899,160006
S400038,40.640832,-74.117339,160007
S400038,40.640782,-74.117459,160008
S400038,40.640682,-74.117709,160009
S400038,40.640587,-74.117912,160010
S400038,40.640587,-74.117912,170001
S400038,40.640542,-74.118009,170002
S400038,40.640482,-74.118119,170003
S400038,40.640402,-74.118269,170004
S400038,40.640372,-74.118369,170005
S400038,40.640362,-74.118459,170006
S400038,40.640382,-74.118559,170007
S400038,40.640462,-74.118689,170008
S400038,40.640672,-74.118929,170009
S400038,40.640732,-74.119029,170010
S400038,40.640772,-74.119099,170011
S400038,40.640822,-74.119279,170012
S400038,40.640842,-74.119489,170013
S400038,40.640852,-74.119629,170014
S400038,40.640842,-74.119749,170015
S400038,40.640812,-74.119879,170016
S400038,40.640752,-74.120039,170017
S400038,40.640582,-74.120379,170018
S400038,40.640562,-74.120419,170019
S400038,40.640496,-74.120498,170020
S400038,40.640496,-74.120498,180001
S400038,40.640462,-74.120539,180002
S400038,40.640362,-74.120649,180003
S400038,40.640292,-74.120709,180004
S400038,40.640072,-74.120899,180005
S400038,40.639822,-74.121139,180006
S400038,40.639522,-74.121459,180007
S400038,40.639172,-74.121819,180008
S400038,40.638552,-74.122469,180009
S400038,40.638458,-74.122581,180010
S400038,40.638458,-74.122581,190001
S400038,40.638452,-74.122589,190002
S400038,40.638362,-74.122719,190003
S400038,40.638112,-74.123089,190004
S400038,40.638032,-74.123209,190005
S400038,40.638002,-74.123259,190006
S400038,40.637942,-74.123369,190007
S400038,40.637842,-74.123569,190008
S400038,40.637702,-74.123922,190009
S400038,40.637702,-74.123922,200001
S400038,40.637592,-74.124199,200002
S400038,40.637452,-74.124589,200003
S400038,40.637372,-74.124859,200004
S400038,40.637182,-74.125659,200005
S400038,40.637182,-74.126319,200006
S400038,40.637191,-74.126707,200007
S400038,40.637191,-74.126707,210001
S400038,40.637192,-74.126739,210002
S400038,40.637202,-74.126849,210003
S400038,40.637282,-74.127849,210004
S400038,40.637332,-74.128649,210005
S400038,40.637472,-74.128709,210006
S400038,40.637892,-74.128879,210007
S400038,40.638301,-74.128993,210008
S400038,40.638301,-74.128993,220001
S400038,40.638322,-74.128999,220002
S400038,40.638592,-74.129119,220003
S400038,40.638842,-74.129259,220004
S400038,40.639022,-74.129379,220005
S400038,40.639052,-74.129409,220006
S400038,40.639202,-74.129529,220007
S400038,40.639362,-74.129649,220008
S400038,40.639462,-74.129729,220009
S400038,40.639612,-74.129879,220010
S400038,40.639802,-74.130099,220011
S400038,40.640022,-74.130409,220012
S400038,40.640162,-74.130649,220013
S400038,40.640255,-74.130824,220014
S400038,40.640255,-74.130824,230001
S400038,40.640342,-74.130989,230002
S400038,40.640402,-74.131209,230003
S400038,40.640422,-74.131349,230004
S400038,40.640422,-74.131398,230005
S400038,40.640402,-74.131469,230006
S400038,40.640382,-74.131549,230007
S400038,40.640352,-74.132299,230008
S400038,40.640312,-74.133649,230009
S400038,40.640282,-74.134489,230010
S400038,40.640276,-74.134882,230011
S400038,40.640276,-74.134882,240001
S400038,40.640272,-74.135139,240002
S400038,40.640262,-74.135369,240003
S400038,40.640252,-74.135839,240004
S400038,40.640252,-74.136189,240005
S400038,40.640242,-74.136519,240006
S400038,40.640240,-74.136540,240007
S400038,40.640240,-74.136540,250001
S400038,40.640232,-74.136659,250002
S400038,40.640212,-74.136859,250003
S400038,40.640182,-74.136998,250004
S400038,40.640112,-74.137249,250005
S400038,40.640012,-74.137549,250006
S400038,40.639982,-74.137659,250007
S400038,40.639952,-74.137759,250008
S400038,40.639882,-74.137979,250009
S400038,40.639862,-74.138059,250010
S400038,40.639832,-74.138149,250011
S400038,40.639732,-74.138479,250012
S400038,40.639702,-74.138589,250013
S400038,40.639682,-74.138749,250014
S400038,40.639692,-74.138889,250015
S400038,40.639712,-74.139089,250016
S400038,40.639722,-74.139269,250017
S400038,40.639732,-74.139389,250018
S400038,40.639745,-74.139594,250019
S400038,40.639745,-74.139594,260001
S400038,40.639752,-74.139699,260002
S400038,40.639772,-74.139909,260003
S400038,40.639752,-74.140129,260004
S400038,40.639712,-74.140549,260005
S400038,40.639672,-74.140729,260006
S400038,40.639592,-74.141019,260007
S400038,40.639482,-74.141299,260008
S400038,40.639292,-74.141749,260009
S400038,40.639122,-74.142159,260010
S400038,40.638974,-74.142546,260011
S400038,40.638974,-74.142546,270001
S400038,40.638852,-74.142869,270002
S400038,40.638722,-74.143169,270003
S400038,40.638662,-74.143289,270004
S400038,40.638552,-74.143529,270005
S400038,40.638472,-74.143699,270006
S400038,40.638282,-74.144098,270007
S400038,40.637952,-74.144779,270008
S400038,40.637912,-74.144989,270009
S400038,40.637894,-74.145090,270010
S400038,40.637894,-74.145090,280001
S400038,40.637782,-74.145729,280002
S400038,40.637722,-74.146039,280003
S400038,40.637590,-74.146955,280004
S400038,40.637590,-74.146955,290001
S400038,40.637582,-74.147009,290002
S400038,40.637412,-74.148139,290003
S400038,40.637368,-74.148470,290004
S400038,40.637368,-74.148470,300001
S400038,40.637362,-74.148519,300002
S400038,40.637212,-74.149519,300003
S400038,40.637112,-74.150079,300004
S400038,40.637072,-74.150369,300005
S400038,40.637008,-74.151103,300006
S400038,40.637008,-74.151103,310001
S400038,40.636982,-74.151399,310002
S400038,40.636932,-74.152069,310003
S400038,40.636932,-74.152099,310004
S400038,40.636872,-74.152859,310005
S400038,40.636868,-74.152910,310006
S400038,40.636868,-74.152910,320001
S400038,40.636792,-74.153869,320002
S400038,40.636801,-74.154672,320003
S400038,40.636801,-74.154672,330001
S400038,40.636802,-74.154769,330002
S400038,40.636852,-74.156189,330003
S400038,40.636852,-74.156939,330004
S400038,40.636828,-74.157714,330005
S400038,40.636828,-74.157714,340001
S400038,40.636822,-74.157939,340002
S400038,40.636822,-74.158139,340003
S400038,40.636822,-74.158759,340004
S400038,40.636842,-74.159039,340005
S400038,40.636862,-74.159159,340006
S400038,40.636922,-74.159408,340007
S400038,40.637002,-74.159729,340008
S400038,40.637042,-74.159899,340009
S400038,40.637082,-74.160018,340010
S400038,40.637106,-74.160087,340011
S400038,40.637106,-74.160087,350001
S400038,40.637132,-74.160159,350002
S400038,40.637162,-74.160229,350003
S400038,40.637432,-74.160799,350004
S400038,40.637482,-74.160909,350005
S400038,40.637572,-74.161089,350006
S400038,40.637652,-74.161259,350007
S400038,40.637842,-74.161779,350008
S400038,40.637902,-74.161939,350009
S400038,40.638002,-74.162179,350010
S400038,40.638082,-74.162319,350011
S400038,40.638202,-74.162529,350012
S400038,40.638232,-74.162576,350013
S400038,40.638232,-74.162576,360001
S400038,40.638332,-74.162729,360002
S400038,40.638432,-74.162899,360003
S400038,40.638512,-74.163029,360004
S400038,40.638802,-74.163408,360005
S400038,40.638902,-74.163509,360006
S400038,40.639162,-74.163799,360007
S400038,40.639482,-74.164169,360008
S400038,40.639632,-74.164409,360009
S400038,40.639802,-74.164729,360010
S400038,40.639936,-74.165055,360011
S400038,40.639936,-74.165055,370001
S400038,40.639962,-74.165119,370002
S400038,40.640002,-74.165229,370003
S400038,40.640172,-74.165679,370004
S400038,40.640272,-74.166019,370005
S400038,40.640182,-74.166019,370006
S400038,40.640130,-74.166021,370007
S400038,40.640130,-74.166021,380001
S400038,40.635922,-74.166179,380002
S400038,40.635842,-74.166179,380003
S400038,40.635425,-74.166198,380004
S400038,40.635425,-74.166198,390001
S400038,40.634772,-74.166229,390002
S400038,40.633572,-74.166279,390003
S400038,40.632822,-74.166309,390004
S400038,40.632532,-74.166319,390005
S400038,40.632452,-74.166319,390006
S400038,40.632162,-74.166329,390007
S400038,40.631899,-74.166338,390008
S400038,40.631899,-74.166338,400001
S400038,40.630302,-74.166399,400002
S400038,40.630072,-74.166409,400003
S400038,40.629769,-74.166418,400004
S400038,40.629769,-74.166418,410001
S400038,40.629062,-74.166439,410002
S400038,40.627492,-74.166519,410003
S400038,40.627362,-74.166549,410004
S400038,40.627482,-74.167179,410005
S400038,40.627572,-74.167629,410006
